P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-09-28,5,14,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,115,1004,서울
2023-08-19,7,9,380869B5AFEDA8E723AC4855AF6F40B8EBF69D96,UHD4K,85,1165,서울
2023-09-06,4,23,BD98FD0FC84E688810250BAB439C9CC2163A416F,UHD4K,54,1000,대전
2023-08-17,5,17,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,128,977,서울
2023-10-23,2,9,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,113,1602,서울
2023-08-22,3,11,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,57,2357,경기/인천
2023-10-02,2,0,4D25D5A26F18DA0BB02B5EB3D35F3FFEE3B819FA,UTE7057LGU,64,636,서울
2023-09-13,4,1,BD98FD0FC84E688810250BAB439C9CC2163A416F,UHD4K,54,1098,대전
2023-10-02,2,18,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,184,1512,경기/인천
2023-10-20,6,16,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,999,745,서울
2023-10-04,4,21,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,5,1255,대전
2023-09-12,3,22,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,323,1234,경기/인천
2023-10-13,6,8,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,273,14690,경기/인천
2023-09-24,1,19,D09990A90A6CAA43BB8650E8EE28FB0A27CCDF75,UTE7057LGU,59,8769,진주
2023-10-29,1,11,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,269,1979,경기/인천
2023-10-12,5,11,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,26,1180,서울
2023-09-23,7,18,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,144,10729,서울
2023-08-06,1,7,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,82,23584,대전
2023-10-09,2,9,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,64,922,경기/인천
2023-10-23,2,13,451A7C86F8CA773AF83330EAD87ECBBD53B6799D,UTE7057LGU,82,6171,부산
2023-08-02,4,2,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,50,2666,서울
2023-10-29,1,12,B11D11246AEBE39EC964E42148FFE9F15EAB0536,UTE7057LGU,79,1416,서울
