P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-10-01,1,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,650,경기/인천
2023-10-07,7,15,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,928,경기/인천
2023-10-16,2,4,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,1005,경기/인천
2023-09-17,1,0,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,1716,경기/인천
2023-10-19,5,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,748,경기/인천
2023-10-01,1,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,997,경기/인천
2023-09-19,3,3,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,745,경기/인천
2023-08-07,2,15,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,6935,경기/인천
2023-08-03,5,4,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,24,1290,경기/인천
2023-08-23,4,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,3961,경기/인천
2023-10-02,2,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,1200,경기/인천
2023-08-04,6,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,688,경기/인천
2023-09-29,6,15,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,2091,경기/인천
2023-09-17,1,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,946,경기/인천
2023-10-02,2,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,931,경기/인천
2023-09-08,6,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,1050,경기/인천
2023-08-13,1,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,2253,경기/인천
2023-09-12,3,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,791,경기/인천
2023-10-02,2,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,928,경기/인천
2023-08-21,2,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,1024,경기/인천
2023-10-09,2,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,2103,경기/인천
2023-08-01,3,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,985,경기/인천
2023-10-09,2,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,1500,경기/인천
2023-10-08,1,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,16,1443,경기/인천
2023-08-24,5,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,44,806,경기/인천
2023-10-02,2,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,7,632,경기/인천
2023-10-01,1,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,7,931,경기/인천
2023-08-03,5,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,1776,경기/인천
2023-08-01,3,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,724,경기/인천
2023-09-01,6,0,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,12906,경기/인천
2023-08-25,6,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,1252,경기/인천
2023-10-30,2,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,1448,경기/인천
2023-08-17,5,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,1012,경기/인천
2023-08-01,3,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,1320,경기/인천
2023-10-09,2,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,10550,경기/인천
2023-09-04,2,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,15,858,경기/인천
